"Aircraft observed a white UAS off the right side while E bound at 3,000 feet, 15 NM e of MDW. No evasive action was taken. Chicago FBI 312-421-6700.","15 NM e of MDW","VOI942 WAS 15 MILES SOUTHEAST OF MDW HEADING 090 LEVEL 3000 FEET WHEN PIC REPORTED SIGHTING AN UNAUTHORIZED DRONE 500 FEET BELOW AT THE 9 O'CLOCK POSITION. NO INJURIES. NO DAMAGE. NO EVASIVE ACTION. NO IMPACT TO OPERATIONS. FBI CONTACTED AT 312-421-6700. DEN CONTACTED","15 MILES SOUTHEAST OF MDW","NA","NA"
"Aircraft observed a UAS while SSW bound at 2,200 feet 9 NM W of FLL. No evasive action was taken. LEO notification attempted with negative results.","9 NM W of FLL","N553BW A HS25 REPORTED A UAS APPROX 9 MILES WEST OF FLL AT APPROX 2200FT. PILOT ADVSD NO EVASIVE ACTION. PILOT ALSO PROVIDED NO DESCRIPTION. BSO ATTEMPTED TO BE CONTACTED WITH NO ANSWER. FLL TOWER ADVSD. PILOT CONTINUED ON TO DESTINATION W/O INCIDENT. ","9 MILES WEST OF FLL","NA","NA"
"Aircraft observed a UAS off the left side while on 8 NM final to GSO at 2,00 feet. No evasive action was taken. Guilford County PD notified at 336-313-4500.","8 NM ","NKS354/A320 was being vectored for the VA RWY 23L when they reported a possible UAS off their left side. The pilot reported it was either  balloon or a UAS but it appeared to be hovering. Color and type unknown. Guildford County Sheriffs office notified (336)373-4500. DEN notified.",NA,"37.170499","-79.734833"
"Aircraft observed a UAS above while SW bound at 1,000 feet, 2 NM NE of LAX. No evasive action was taken. Los Angeles Airport PD notified at 310-646-0200.","2 NM NE of LAX","UNAUTHORIZED UAS ACTIVITITY RY24R: SKW4487, E75L, FLEW OVER THE TOP OF AIRCRAFT ON ON A 2 MILE FINAL AT 1000FT. UAS WAS BLACK, NO EVASIVE ACTION, LANDED WOI, LAWA NOTIFIED AT 1725Z, DEN NOTIFIED AT 1720Z, CAN.",NA,"33.9555","-118.36980000000001"
"Aircraft observed a white UAS while at 1,500 feet 500 feet below 1 NM of departure end. No evasive action was taken. SFO Airport PD notified at 650-876-2358.","1 NM ","UAL1264 A319 departed SFO at 2040z on RWY 01. At 2043z UAL1264 reported seeing a white drone off the left side of the aircraft passing five thousand feet on the climb out. UAL1264 stated the drone was approximately 300ft from the aircraft heading east but no evasive maneuvers were required. No other aircraft observed a drone in the vicinity. DEN, ROC, ATM, and Law Enforcement notified. ",NA,"37.6343","-122.3622"
"Aircraft observed a small UAS while on 10 NM final while E bound at 1,000 feet, 1 NM E of PMD. No evasive action was taken. Los Angeles PD notified at 661-272-2400. ","10 NM ","WAYLN11 REPORTED A SMALL UAS ONE MILE NORTH OF THE ILS CENTERLINE ABOUT 10 EAST OF THE PMD AIRPORT. NO ACTION WAS TAKEN BY THE PILOT.",NA,"NA","NA"
"Aircraft observed a white, round, basketball size UAS off the left side on departure end of RWY 34R at SEA while at 2,300 feet and 50 feet below. No evasive action was taken. 911 notified. ",NA,"SKW3820 departed SEA north bound, on departure SKW3820 advised a drone passed 30 ft off their left wing. SKW3820 advised drone was about the size of a basketball with a round nose. SEA tower notified of the sighting. ",NA,"47.301","122.1829"
"Aircraft observed a UAS above while S bound at 2,600 feet, 1 NM N of LAS. No evasive action was taken. No impact to airport operations. LEO notified at 702-563-5135.","1 NM N of LAS","JBU777/A320 REPORTED A DRONE OVERHEAD AT 1 MILE FINAL 2600FT LANDING RWY 19L. NO EVASIVE ACTION TAKEN, JBU777 LANDED WITHOUT INCIDENT.",NA,"36.11","-115.15"
"Aircraft observed a UAS off the right side while NNE bound at 5,500 feet, 2 NM E of LVK. No evasive action was taken. Livermore Police notified at 925-371-4987.","2 NM E of LVK","N925C reported sighting a UAS at 050.  ACN.",NA,"37.68833","-121.7502777"
"Aircraft observed a UAS while NE bound at 5,000 feet, 26 NM NE of CLT. No evasive action was taken. LEO notified at 704-916-2200.","26 NM NE of CLT","UAS ACTIVITY: N93FE BE58 REPORTED A SHINY UAS OVER THE NASCAR AREA, 200 FT BELOW THE AIRCRAFT. LOCATION WAS THE CLT053026. LAT 35.4563/LON-80.5202. CONCORD POLICE, TSA, AND FAA DEN NOTIIFIED.",NA,"35.4563","-80.5202"
"Aircraft observed a UAS while W bound at 13,000 feet, 36 NM SSW of JFK. No evasive action was taken. NYPD Aviation notified.","36 NM SSW of JFK","JBU520, E190 INBOUND TO JFK REPORTED A SILVER DRONE 5 SW OF CAMRN AT 13000'.  DRON WAS HEADINGWESTBOUND.  DEN AD NYPD AVIATION ADVISED.",NA,"NA","NA"
"Aircraft observed a dark UAS 100 feet above while departing off of RWY 35 at OGD. No evasive action was taken. Ogden PD notified at 801-629-8221.",NA,"CAP4358 WAS CLEARED FOR TAKEOFF ON RUNWAY 35 WHEN THE PILOT REPORTED A DARK COLORED DRONE APPROXIMATELY 100' ABOVE THE GROUND IN THE VICINITY OF THE APPROACH END OF RUNWAY 35.  NO OTHER AIRCRAFT WERE AFFECTED AND THE DRONE WAS NOT OBSERVED BY THE TOWER.  OGDEN POLICE DEPARTMENT (VIA WEBER DISPATCH) WAS NOTIFIED BY TOWER OF THE EVENT AND REQUESTED A POLICE UNIT INVESTIGATE THE AREA TO SEARCH FOR A POSSIBLE DRONE PILOT.",NA,"41.187219","-112.014942"
"Aircraft observed a red and white quadcopter UAS while W bound at 9500 feet, 23 NM W of ELD. No evasive action was taken. Columbia County Sheriff notified at 870-234-5331.","23 NM W of ELD","FDY426 WESTBOUND CLIMBING 0UT OF 095 TO ASSIGNED ALTITUDE OF 100 REPORTED PASSING OVER A DRONE. THE PILOT DESCRIBED THE DRONE AS A LARGE RED AND WHITE ROTERCRAFT WITH APPROXIMATELY 4-6 ROTERS. THE UAS WAS HOVERING IN POSITION RIGHT OVER THE AGO AIRPORT AS FDY426 FLEW OVER IT. THE PILOT REPORTED THAT NO EVASIVE MANEUVER WAS REQUIRED. GENERAL BROADCAST WARNINGS WERE ISSUED BY MLU-L. ",NA,"33.25","93.21000000000001"
"Aircraft observed a UAS off the left side while at 1,500 feet, 4 NM W of TEB. No evasive action was taken. NYPD Aviation Unit notified at 609-882-3820.","4 NM W of TEB","LXJ355, E55P, REPORTED A DRONE AT 1500 FT 4 MILES WEST OF TEB AIRPORT.  NO EVASIVE ACTION WAS TAKEN AND NJ STATE POLICE WAS NOTIFIED.","4 MILES WEST OF TEB","NA","NA"
"Aircraft observed a black and grey UAS 500 feet below them off the left side while W bound at 3,000 feet, 10NM W of SFB. No evasive action was taken. LEO notification not reported.","10NM W of SFB","ERU431 reported a UAS sighting to Central Florida TRACON(F11), STD position.  ERU431 was 10 miles west of Sanford Airport(SFB), on a 260 heading, level at 2,500.  ERU431 reported the UAS at their 11 O'clock position, moving north, 100 feet above.  UAS was reported as black and grey in color, approximately 1 square foot in size, type of UAS unknown. UAS caused no impact to operations.  UAS advisory notifications broadcast on frequency. ROC notified.  ","10 miles west of S","NA","NA"
"Aircraft observed a UAS while conducting pattern work at 1,500 feet, .5 NM south of AFW. No evasive action was taken. LEO notified.",".5 NM south of AFW","N6061F WAS IN RIGHT CLOSED TRAFFIC FOR RWY16R AND REPORTED A UAS AT 1500FT OVER THE SECOND WAREHOUSE TO THE SW OF AFW. N6061F REPORTED THE UAS AS A WHITE QUADCOPTER APROX 2FT IN DIAMETER. N6061FT REPORTED SEEING THE DRONE SEVERAL TIMES THEN DID NOT SEE IT. N6061F REPORTED THE UAS RETURNED. AT 1600Z N6061F REPORTED THE UAS IS NOT IN SIGHT ANY LONGER. ACN. ",NA,"NA","NA"
"Aircraft observed a UAS pass left to right while NE bound at 700 feet, 7 NM SW of RSW. No evasive action was taken. Lee County Sheriff notified at 239-258-3990.","7 NM SW of RSW","N13KD REPORTED A DRONE TO FMY TOWER 2300 RIGHT TO LEFT ON 7 MILE FINAL AT 700'. NO EVASIVE ACTION REPORTED. REPORT WAS TAKEN FROM FMY AND REPORTED TO RSW. ",NA,"26.033279999999998","81.5346"
"Aircraft observed a yellow UAS off the left side while NW bound at 2,600 feet, 28 NM SE of SJC. No evasive action was taken. LEO notification not reported.","28 NM SE of SJC","EJA811/C700 reported to the controller that when he flew near KLIDE intersection that something yellow flew a couple of hundred feet below his wing.  After checking the Falcon replay, nothing was on the scope and the pilot did not get a TCAS RA.  The next aircraft flew over the same intersection minutes later and the controller informed him of the possible UAS and the next pilot did not report seeing anything.  

(This occurred on 8/13/21 at 7:33 pm local time) ",NA,"37.26","-121.82000000000001"
"Aircraft observed a grey quadcopter below while north bound at 9,000 feet, 20 NM east of BAL. No evasive action was taken.  MD State PD notified at 410-778-1800.","20 NM east of BAL","N4524F (P28A) REPORTED AN UNAUTHORIZED UAS AT THE BWI090020 AT 1540Z. AIRCRAFT WAS NORTHBOUND AT 9,000' AND REPORTED THE UAS DIRECTLY BELOW AT APPROXIMATELY 8,000'. NO EVASIVE ACTION WAS REQUIRED AND NO INJURIES SUSTAINED. MD STATE POLICE IN CHESTERTOWN, MD WERE NOTIFIED. DRONE WAS DESCRIBED AS A GREY QUADCOPTER, STANDARD SIZED. NO OTHER REPORTS RECEIVED. ACN.",NA,"39.1511","-76.2677"
"Aircraft observed a silver quadcopter UAS off the right side while SW bound at 4,500 feet, 7NM SE of RIS. No evasive action was taken. Jackson County Sheriff notified at 816-524-4300.","7NM SE of RIS","N469KM SOUTHWEST BOUND TO OJC ENCOUNTERED USA WITHIN 50FT OF A/C. NO PILOT ACTION TAKEN. INSIDE OF BRAVO AIRSPACE. ",NA,"NA","NA"
"Aircraft observed a UAS off the left side while SE bound at 13,000 feet, 12 NM NE of LBL. No evasive action was taken. Seward County Sheriff notified at 620-626-0150.","12 NM NE of LBL","N771SL REPORTED AN OBJECT OFF OF HIS LEFT WING THAT RESEMBLED A DRONE AT 13,000FT MSL. SEWARD COUNTY SHERIFF DEPARTMEN NOTIFIED OF UNAUTHORIZED DRONE ACTIVITY 12 MILES NORTHEAST OF THE LIBERAL MUNICPAL AIRPORT. DEN ADVISED. R68 ADVISED TO BROADCAST UNAUTHORIZED DRONE ACTIVITY.","12 MILES NORTHEAST OF THE","NA","NA"
"Aircraft observed a UAS off the right side while NE bound at 5,000 feet, 4 NM NW of SNA. No evasive action was taken. OC Sheriff notified at 714-288-6742.","4 NM NW of SNA","EJA803 reported drone activity. No evasive action taken.",NA,"33.685300000000005","-117.96610000000001"
"Aircraft observed a black UAS off the right side while NW bound at 8,000 feet, 6 NM S of STL. No evasive action was taken. STL County PD notified at 636-432-2962.","6 NM S of STL","SWA3400 REPORTED A STATIONARY BLACK DRONE WITH RED LIGHTS AND A BLACK BOX OFF HIS RIGHT-HAND SIDE WHILE ON THE BOOSH ARRIVAL. NO EVASIVE ACTION WAS TAKEN. STL ATCT NOTIFIED 0056Z. STL COUNTY POLICE NOTIFED 0100Z. DEN NOTIFED 0103Z. NO FURTHER REPORTS OF ACTIVITY. AIRCRAFT WERE KEPT CLEAR OF THE AREA.",NA,"NA","NA"
"Aircraft observed a silver UAS off the left side while SE bound at 8,000 feet, 3NM SW of SQL. No evasive action was taken. San Mateo County Sheriff notified at 650-802-4277.","3NM SW of SQL","UAL858 checked in with the controller and a couple of minutes later said, ""ok, we got a drone about 8,000ft that just passed off our left side, about a mile back.""  The controller then asked the pilot for additional information and the pilot then said it appeared to be silver in color and long, vertically.  

San Mateo County Sheriffs Department was notified at 0203z.  650-802-4277",NA,"37.526700000000005","-122.32100000000001"
"Aircraft observed a 4 UAS 15-20 feet off their wing while NE bound at 1,500 feet, 2NM SW of HNL. No evasive action was taken. HCF contacted FACSFAC, JRF ATCT, USCG, and other government entities to see if official UAS operations were being conducted. Honolulu PD notified but unable to assist since sighting was over the ocean.","2NM SW of HNL","N227AK PA31 INBOUND TO RWY 4R REPORTED A FLIGHT OF 4 DRONES THAT JUST OVERFLEW HIS WING BY 15-20FT SW OF HNL AIRORT (HNL230003) AT 1500FT GOING EAST TO WEST. THE PILOT ADVISED IT HAPPENED SO FAST HE COULD NOT TAKE ANY EVASIVE ACTION. N227AK LANDED WOI AND CALLED HCF OMIC TO REPORT THE DETAILS. HCF REACHED OUT TO FACSFAC FOR POSSIBLE MILITARY UAS OPS, FACSFAC CONFIRMED NO UAS ACTIVITIES. JRF TOWER ADVISED AND REPORTED NO KNOWLEDGE OF ANY UAS OPERATIONS. COAST GUARD CALLED TO SEE IF THEY HAD ANY ASSESTS IN THE WATER SOUTH OF HNL BUT THE STATED NO ASSESTS IN THE WATER. COAST GUARD REACHED OUT TO OTHER MILITARY ENTITIES TO SEE FI THEY WERE CONDUCTING UAS OPS WITH NO CONFIRMATION. HPD ADVISED BUT DUE TO THE REPORTS BEING OVER WATER, THEY COULD NOT ASSIST. DEN NOTIFED. NO RWY 4L/4R ARRIVALS FROM 0555, ALL ARRIVALS TO RWY 8L.  ",NA,"21.2755","-158.06990000000002"
"Aircraft observed a 4 UAS while NW bound at  feet, 2NM SW of HNL. No evasive action was taken by the aircraft, but HCF terminated approaches to RWY 04R and started using RWY 08L as a precaution. Honolulu PD notified via 911. JH, TSOC, AWO advised.","2NM SW of HNL","SWA3851 B738 INBOUND TO RWY 4R REPORTED A FLIGHT OF 4 DRONES PASSING OFF THEIR RIGHT SIDE AT ABOUT 2000FT. SWA3851 REPORTED THAT THE DRONES WERE LARGE (ABOUT 4 FEET) AND IT APPEARED THE DRONES WERE CIRCLING A SHIP THAT WAS DOCKED. SWA3851 DID NO REPORT ANY EVASIVE MANEUVERS AND LANDED WOI ON RWY 4R AT 0553Z.  HPD, FACSFAC, JRF, COAST GUARD AND DEN WERE NOTIFIED OF THE UAS ACTIVITY SOUTH OF HNL. HCF SUSPENDED RWY 4L/4R ARRIVALS AT 0555Z. AT 0715Z, A MEDEVAC FLIGHT REQUESTED RWY 4R FOR EXPEDITED SERVICE TO THE AIRPORT. THEY REPORTED NO UAS ACTIVITY. HCF OPENEND RWY 4L/4R TO ARRIVAL AT 0715Z. HCF RECIEVED NO OTHER INFORMATION PERTAINING TO THE UAS ACTIVITY REPORTED BY N227AK AND SWA3851. HNL SDOT ALSO DID NOT OBSERVE ANY UAS ACTIVITIES OR OPERATORS ON THE AIRPORT GROUNDS. JADOC (HICKAM SECURITY) ALSO CONCLUDED THEIR SEARCH WITH NO REPORTS.  ",NA,"21.2665","-157.99540000000002"
"Aircraft observed a blue UAS off the left side, 8 NM W of ORL. No evasive action was taken. Orange County Sheriff notified.","8 NM W of ORL","N1805J/P28A was inbound to ORL Airport from the west. N1805J reported blue drone 300 feet of its left side 8 miles west of ORL airport. N1805J landed safely with no issues noted. CIC reported drone to local sheriff department. ","8 miles west of ORL","NA","NA"
"Aircraft observed a white UAS off the left side while NE bound at 2,000 feet 4 SE of DTW on 4NM final to RWY 04L. No evasive action was taken. Michigan State PD notified at 517-241-8000. ","4NM ","EDV5155 REPORTED A DRONE AT 1000 ONE MILE INSIDE OF PAYED ON FINAL FOR RUNWAY 04L.  PILOT REPORTED THE DRONE TO BE WHITE IN COLOR STATIONARY AT THAT LOCATION.  UNABLE TO GIVE HOW MANY ROTORS THE DRONE HAD. ",NA,"NA","NA"
"Aircraft observed a white UAS off the left side while SW bound at 1,500 feet, 3 NM NE of LAX. No evasive action was taken. LAWA notified at 310-646-0200.","3 NM NE of LAX","UNAUTHORIZED UAS ACTIVITY RY25L: JBU123, A21N, N2142J, LEFT SIDE ON A 3 MILE FINAL, 1500 FT, WHITE DRONE WITH SILVER MARKINGS, NO IDENTIFYING FEATURES REPORTED, NO EVASIVE ACTION, LANDED WOI, LAWA NOTIFIED AT 1637Z, DEN NOTIFIED AT 1635Z. ",NA,"NA","NA"
"Aircraft observed a UAS while NE bound at 3,200 feet, 10 NM S of MMU. No evasive action was taken. HJ Homeland Security notified at 866-472-3365.","10 NM S of MMU","N245PE REPOTED A RED DRONE AT 3200' 10 SE OF MMU.  NO EVASIVE ACTIONS TAKEN OR INJURIES REPORTED.  REPORTED TO THE DEN AND TO NJ HOMLAND SECURITY.  ",NA,"NA","NA"
"Aircraft observed a silver UAS while SE bound at 5,000 feet, 14 NM NE of BAL. No evasive action was taken. BAL County PD notified at 410-887-2222.","14 NM NE of BAL","N212MM, SR22 WAS ENROUTE TO W29 WHEN THE PILOT ENCOUNTERED A SMALL, SILVER DRONE NEAR THE BAL04014 AT 050.  DRONE WAS SIMILAR ALTITUDE AS REPORTING PILOT.  ON EVASIVE ACTION WAS TAKEN. NO INJURIES REPORTED.  BAL COUNTY PD NOTIFIED. AT 410-887-2222/",NA,"NA","NA"
"Aircraft observed a UAS off the left side while SW bound at 5,000 feet, 16 NM NE of RSW. No evasive action was taken. Lee County Sheriff notified at 239-258-3990.","16 NM NE of RSW","AAL565 INBOUND TO RSW REPORTED ENCOUNTERED A UAS OFF THEIR LEFT WING HEADING NORTHEASTBOUND AT APPX. 050. NO OTHER INFORMATION ABOUT THE UAS WAS GIVEN.",NA,"NA","NA"
"Aircraft observed a UAS or balloon while NNW bound at 17,500 feet, 15 NM N of HTO. No evasive action was taken. LEO not notified.","15 NM N of HTO","GPD224 PC12 VFR/175 KTEB./.KACK at 1925z reported ""either a balloon or drone"" at 150 HTO010015.
DAL39 H/B7674/L FL190 LIPZ./.KJFK at FL190 reported and object at 150 HTO040015 at 1933z.

Neither pilot reported impacts to flight.  Both pilots did not confirm if it was a drone.  No action was needed by ATC.

Consulted ROC on how to report-they advised to file an MOR and state that the reports were not confirmed as a drone.",NA,"NA","NA"
"Aircraft observed a UAS 500 feet below while N bound at 3,000 feet, 3 NM NE of RNT. No evasive action was taken. LEO notified at 911.","3 NM NE of RNT","N1152Z DEPRTED RNT RWY 34, WAS TURNED TO A 160 HEADING AND HANDED OFF TO DEPARTURE A. THEY REPORTED HAVING PASSED A DRONE THAT WAS OVER I-405 ABEAM THE SOUTHERN END OF MERCER ISLAND AT 3000'. NO EVASIVE MANEUVERS WERE TAKEN AND THE PILOT DID NOT DECLARE A NEAR MID-AIR COLLISION.",NA,"47.5129","-122.19330000000001"
"Aircraft observed a UAS off the left side while W bound at 2,000 feet, 1.5 NM SE of RYY. No evasive action was taken. Cobb County PD notified.","1.5 NM SE of RYY","PILOT REPORT REFLECTIVE MOMENTARY SIGHTING.",NA,"NA","NA"
"Aircraft observed a silver quadcopter UAS 500 feet below while S bound at 8,000 feet, 6 NM N of BOS. No evasive action was taken. No impact to airport operations. Massachusetts State PD notified at 508-820-2121.","6 NM N of BOS","JBU320 A320 WAS DESCENDING VIA THE JFUND ARRIVAL TO BOS. THEY REPORTED A DRONE 500 FT BELOW AT APPROXIMATELY 075, JBU320 WAS AT 080. THE DRONE WAS LOCATED ABOUT 6 MILES NE OF BOS, AND DESCRIBED AS SILVER AND WITH 4 ROTORS. NO EVASIVE ACTION WAS TAKEN. DEN AND BOS TOWER NOTIFED. MASS STATE POLICE NOTIFIED (508) 820 2121. ","6 MILES NE OF BOS","42.45","-70.94"
"Aircraft observed a black UAS while WSW bound at 2,000 feet, 5 NM ENE of LAX. No evasive action was taken. LEO notified at 310-646-4265.","5 NM ENE of LAX","UNAUTHORIZED UAS ACTIVITY RY24R: ANA106, B777, TAIL NUMBER UNKN, RJTT-KLAX, 4 MILE FINAL AT 2000 FT LANDING RY24R, BLACK, NO EVASIVE ACTION, LANDED WOI, LAWA ARCC NOTIFIED AT 2355Z, DEN NOTIFIED AT 2356Z.",NA,"NA","NA"
"Aircraft observed a UAS 100 feet below while N bound at FL180, 15 NM SE of GEP. No evasive action was taken. Ramsey County Sheriff notified at 651-484-3366.","15 NM SE of GEP","N79843 REPORTED MISSING A DRONE BY APPROXIMATELY 100 FEET OFF OF WING. WHICH WING, AND DIRECTION OF DRONE WERE NOT PROVIDED. THE AIRCRAFT WAS NORTHBOUND AT FL180. THE AIRCRAFT DID NOT HAVE TO TAKE EVASIVE ACTION. ",NA,"45.04","93.08"
"Aircraft observed a white UAS off the left side while SW bound at 1,500 feet, 3 NM NE of LAX. No evasive action was taken. LAX Airport PD notified at 310-646-4265.","3 NM NE of LAX","UNAUTHORIZED UAS ACTIVITY RY24R: SKW5802, E75L, N166SY, KRDM-KLAX, 3 MILE FINAL LANDING RY24R AT 1500 FT, WHITE, STATIONARY, NO EVASIVE ACTION, LANDED WOI, LAWA ARCC NOTIFIED AT 0023Z, DEN NOTIFIED AT 0023Z.",NA,"33.9585","-118.3395"
"Aircraft observed a black and gray UAS off the right side while SW bound at 300 feet, 1 NM NW of PDK. No evasive action was taken. Chamble PD notified at 770-986-5000.","1 NM NW of PDK","N9686M(M020) was inbound to PDK on final for runway 21R. On a one mile final, the pilot reported a UAS in the airspace. The pilot landed without further incident and contacted the tower with the following information. The UAS was approximately 1NM NW of PDK and 300ft above the ground. The UAS was small in size, black & gray in color, and had no lights.  The pilot reported that the UAS closest proximity to his aircraft was 50ft off of his right side and that no evasive maneuvers was needed. The LC1 controller advised aircraft on frequency about the UAS sighting and also an insert was added to the atis. Chamblee Police(770-986-5000) (badge #660) was notified. OG was notified at the ROC and UL was notified at the DEN. The pilot's contact info is as follows: Joe McCarty 404-386-7856.","1NM NW of PDK","3","NA"
"Aircraft observed a UAS while W bound at 500 feet, 3NM W of LIT. No evasive action was taken. Little Rock PD notified at 501-371-4829.","3NM W of LIT","LN761AF DEPARTED AR62 (CHILDRENS HOSPITAL) AND REPORTED A DRONE ORBITING OVER THE PARKING LOT. LN761AF WAS UNSURE OF SIZE AND COLOR AND JUST REPORTED ONLY BEING ABLE TO SEE THE LIGHT. LN761AF REPORTED THAT NO AVASIVE MANEUVERS WERE REQUIRED AND THAT THEY POINTED THE AIRCRAFT AWAY FROM THE UAS DURING TAKEOFF. THE DEN, ROC, AND LITTLE ROCK PD WERE NOTIFIED. ",NA,"NA","NA"
"Aircraft observed a black quad-copter UAS off the right side while NE bound at 500 feet, .5 NM NE of BNA. No evasive action was taken. BNA Metro Airport PD notified at 615-275-1703.",".5 NM NE of BNA","DAL2844, on final for RWY 20R, reported a 4 rotor black drone opposite direction of him just to the left of the localizer.  No evasive maneuvers made. No further sightings by other aircraft.  DEN/ROC/Law Enforcement notified.  UAS Report added to ATS and broadcast IAW FAAO 7110.65.",NA,"NA","NA"
"Aircraft observed a UAS while NW bound at 14,000 feet, 20 NM NW of CQO. No evasive action was taken. Cherokee County PD notified at 678-493-4200.","20 NM NW of CQO","UAS Activity Report,
EDV5338, CRJ2/L departed KATL northwest bound enroute to KEVV. At approximately 1548Z. The flight crew reported a drone at his 11 to 12 O-clock position moving southeast bound. EDV5338 was at 140 thousand, and the drone was 500 feet below. It was reported to be a personal size type drone, and the color was not identified. The Cherokee county sheriff department was notified. ATM notification complete.",NA,"NA","NA"
"Aircraft observed a UAS while N bound at 4,500 feet, 7 NM S of PDX. No evasive action was taken. LEO not notified.","7 NM S of PDX","FLNT275 orbiting 7 miles south of PDX at 4500 feet. FLNT275 advised P80 of a drone at 1000 feet appeared to be over I205. FLNT275 then reported a cluster of balloons. When asked about the drone FLNT was un sure on whether it was a drone or not. ","7 miles south of PDX","NA","NA"
"Aircraft observed a UAS off the front while E bound at 1,700 feet, 8 NM NW of MDW. No evasive action was taken. FBI notified at 312-421-6700.","8 NM NW of MDW","8 MILES NORTHWEST OF MDW, N6163F WAS VFR AT 1700 FEET HEADING 090 WHEN THE PILOT REPORTING SEEING A SMALL RED DRONE AT HIS 12 O'CLOCK APPROXIMATELY 100 FEET BELOW THE AIRCRAFT. NO EVASIVE MANEUVERS. NO DAMAGE. NO INJURIES. NO IMPACT TO OPERATIONS. CONTACTED FBI AT 312-421-6700. CONTACTED DEN.","8 MILES NORTHWEST OF MDW","NA","NA"
"Aircraft observed a UAS off the right side while NE bound at 700 feet, 3 NM NW of JFK. No evasive action was taken. New York City Port Authority notified at 718-244-8100.","3 NM NW of JFK","JBU416, A321 IN BOUND RWY 13L REPORTED A STATIONARY DRONE 3 MILE BASE, BETWEEN 500 TO 750 FEET OFF THEIR RIGHT WING. NO ACTION TAKEN. ACFT LANED RWY 13L WITHOUT INCIDENT. ",NA,"NA","NA"
"Aircraft observed a large, fixed-wing, fast moving UAS while W bound, 100 feet above at 15,000 feet, 44 NM E of MKE. No evasive action was taken. FBI notified at 312-421-6700.","44 NM E of MKE","AIRCRAFT REPORTED DARK, FIXED WING UAS 'A COUPLE OF HUNDRED FEET' ABOVE THEM MOVING EASTBOUND. NO EVASIVE ACTION TAKEN. HIGH CLOSURE RATE.",NA,"NA","NA"
"Aircraft observed a UAS while west bound at 1,400 feet, 3 NM east of EWR. No evasive action was taken. LEO notified at 973-961-6015.","3 NM east of EWR","UAL967, B757 2 MILE RIGHT BASE RY 29 REPORTED WHITE DRONE 3 EAST MOVING NORTH AT 010.",NA,"NA","NA"
"Aircraft observed a black UAS off the front side while S bound at 2,000 feet, 5 NM NE of EWR. No evasive action was taken. EWR Airport Authority notified at 973-961-6015.","5 NM NE of EWR","UAL2009 B737 REPORTED SEEING A BLACK QUAD UAS FLY NEAR THEM ON A 5NM RIGHT BASE LANDING RY29. NO INVASIVE MANEVERING NEEDED. UAL2009 CONTINUED ON THE APPROACH AND LANDED WITHOUT INCIDENT.","5NM ","22","NA"
"Aircraft observed a UAS off the right side while NW bound at 8,000 feet, 8 NM SE of ORD. No evasive action was taken. Oak Park PD notified at 708-386-3800.","8 NM SE of ORD","PILOT REPORTED SIGHTING OF A SINGLE DRONE AT 8000 MSL WHILE ON APPROACH FROM THE SOUTHEAST.  UAS ACTIVITY REPORTED TO OAK PARK POLICE AND DEN.  NO OTHER REPORTS OR IMPACTS TO OPERATIONS.",NA,"41.88","-87.78"
"Aircraft observed a black quadcopter UAS off the left side while S bound at 1,100 feet, 3 NM N of MCI. No evasive action was taken. Kansas City PD notified at 816-243-5219.","3 NM N of MCI","Pilot of AAL1614 reported to MCI Tower that he observed a UAS approximately 2-3 mile final for Runway 19L. AAL1614 was conducting a visual approach to Runway 19L at the time. UAS was approximately at 1100 feet on left side of the aircraft. No known authorized UAS activity at the time. ",NA,"39.341111","94.689167"
"Aircraft observed a UAS off the left side 200 feet below while SSE bound at 3,000 feet, 7 NM SSE of SKF. No evasive action was taken. LEO not notified.","7 NM SSE of SKF","CHILI83 WAS CONDUCTING AN ILS APPROACH INTO KSKF WHEN THEY NOTICED WHAT APPEARED TO BE A UAS 200 FT BELOW THEM AND OFF TO THIER LEFT IN THE DISTANCE.  UAS APPEARED TO BE A NON ISSUE.  A/C REPORTED IT AND CONCLUDED THE ILS APPROACH SAFELY TO A FULL STOP.  KSKF TOWER WAS NOTIFIED OF THE UAS ACITIVITY.",NA,"29.3","98.37"
"Aircraft observed a red top UAS off the right side while NW bound at 4,000 feet, while turning base to final. No evasive action was taken. RDU ATCT attempted to notify RDU PD at 919-890-3335 but was unable to get an answer. ",NA,"N514RR, PRM1, ON THE BASE FOR RY23R AT 4000 FEET REPORTED A DRONE PASSING OFF HIS RIGHT SIDE WITHIN 2NM AT 3000 FEET. RED TOP, STATIONARY. NO EVASIVE ACTIONS WERE TAKEN. ATTEMPTED TO CONTACT RALEIGH POLICE DEPARTMENT 919-890-3335 ON NUMEROUS OCCASIONS BUT TO NO AVAIL. DEN NOTIFIED/RT","2NM ","35.5248","78.3229"
"Aircraft observed a UAS off the right side while E bound at 4,000 feet, 4 NM W of IAH. No evasive action was taken. LEO not notified.","4 NM W of IAH","UAL1570 ON FINAL TO RWY 8R REPORTED A DRONE AT 1500' JUST SOUTH OF THE FINAL HEADING WESTBOUND.  PILOT STATED THEY DID NOT KNOW WHAT TYPE, COLOR, OR SIZE OF DRONE. AIRCRAFT DID NOT REQUEST TO DEVIATE FROM FINAL NOR ANY OTHER AIRCRAFT ON FINAL TO RWY 8R. ",NA,"15","NA"
